Nr.	BLZ	BIC	Institut	Ort	RZ	Organisation	HBCI-Zugang DNS	HBCI- Zugang     IP-Adresse	HBCI-Version	DDV	RDH-1	RDH-2	RDH-3	RDH-4	RDH-5	RDH-6	RDH-7	RDH-8	RDH-9	RDH-10	RAH-7	RAH-9	RAH-10	PIN/TAN-Zugang URL	Version	Datum letzte Änderung
13	10033300	SCFBDE33XXX	Santander Bank	Berlin	eigenes Rechenzentrum	BdB	sec.santanderbank.de	193.243.184.115	3.0		ja															2/26/14
14	10040000	COBADEBBXXX	Commerzbank	Berlin	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
15	10050000	BELADEBEXXX	Berliner Sparkasse	Berlin	Finanz Informatik GmbH & Co. KG	DSGV	banking-be3.s-fints-pt-be.de	nicht unterstützt	3.0	ja											ja			https://banking-be3.s-fints-pt-be.de/fints30	FinTS V3.0	7/9/16
16	10070000	0	Deutsche Bank Fil Berlin	Berlin	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
17	10070024	0	Deutsche Bank Privat und Geschäftskunden F 700	Berlin	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
18	10070100	DEUTDEBB101	Deutsche Bank Fil Berlin II	Berlin	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
19	10070124	DEUTDEDB101	Deutsche Bank Privat und Geschäftskd Berlin II	Berlin	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
20	10077777	NORSDE51XXX	norisbank GmbH	Berlin	eigenes Rechenzentrum	BdB																		https://fints.norisbank.de/	FinTS V3.0	6/10/13
21	10090000	0	Berliner Volksbank	Berlin	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	12/18/09
22	10090900	0	PSD Bank Berlin-Brandenburg	Berlin	Fiducia & GAD IT AG	BVR																		https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	9/16/16
23	10120100	WELADED1WBB	Weberbank	Berlin	Finanz Informatik GmbH & Co. KG	DSGV	banking-bb6.s-fints-pt-bb.de	nicht unterstützt	3.0	ja											ja			https://banking-bb6.s-fints-pt-bb.de/fints30	FinTS V3.0	7/9/16
24	10130600	ISBKDEFXBER	Isbank AG	Frankfurt am Main	Bank-Verlag	BdB																		https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp	FinTS V3.0	10/1/18
25	10130800	BIWBDE33XXX	biw Bank für Investments und Wertpapiere	Willich	XCOM AG	BdB	hbcisepa.biw-bank.de	62.192.203.46	3.0		ja	ja			ja									https://konto.biw-bank.de/hbci/	FinTS V3.0	6/23/14
26	10320800	TRDADEB1PBK	Keine FinTS-Unterstützung																							
27	12030000	0	Deutsche Kreditbank Berlin (DKB) AG	Berlin 	Finanz Informatik GmbH & Co. KG	DSGV	banking.s-fints-pt-dkb.de	nicht unterstützt	3.0	ja											ja			https://banking-dkb.s-fints-pt-dkb.de/fints30	FinTS V3.0	7/9/16
28	12030000	0	SKG BANK AG / SKG BANK GmbH	Saarbrücken	Finanz Informatik GmbH & Co. KG	DSGV	banking.s-fints-pt-dkb.de	nicht unterstützt	3.0	ja											ja			https://banking-dkb.s-fints-pt-dkb.de/fints30	FinTS V3.0	3/24/17
29	12030900	MEFIDEMM100	Merck Finck & Co.	Berlin	Bank-Verlag GmbH	BdB	hbciserver.bankverlag.de	nicht unterstützt	3.0		ja		ja		ja									https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp	FinTS V3.0	10/8/10
30	12040000	COBADEBB120	Commerzbank	Berlin	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
31	12070000	DEUTDEBB165	Deutsche Bank Ld Brandenburg	Potsdam	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
32	12070000	DEUTDEBB165	Deutsche Bank	Bad Freienwalde (Oder)	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
33	12070000	DEUTDEBB165	Deutsche Bank	Bernau bei Berlin	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
34	12070000	DEUTDEBB165	Deutsche Bank	Brandenburg an der Havel	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
35	12070000	DEUTDEBB165	Deutsche Bank	Cottbus	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
36	12070000	DEUTDEBB165	Deutsche Bank	Eberswalde	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
37	12070000	DEUTDEBB165	Deutsche Bank	Eisenhüttenstadt	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
38	12070000	DEUTDEBB165	Deutsche Bank	Finsterwalde	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
39	12070000	DEUTDEBB165	Deutsche Bank	Frankfurt (Oder)	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
40	12070000	DEUTDEBB165	Deutsche Bank	Fürstenwalde/Spree	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
41	12070000	DEUTDEBB165	Deutsche Bank	Jüterbog	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
42	12070000	DEUTDEBB165	Deutsche Bank	Königs Wusterhausen	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
43	12070000	DEUTDEBB165	Deutsche Bank	Kyritz	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
44	12070000	DEUTDEBB165	Deutsche Bank	Neuruppin	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
45	12070000	DEUTDEBB165	Deutsche Bank	Oranienburg	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
46	12070000	DEUTDEBB165	Deutsche Bank	Berlin	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
47	12070000	DEUTDEBB165	Deutsche Bank	Pritzwalk	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
48	12070000	DEUTDEBB165	Deutsche Bank	Rathenow	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
49	12070000	DEUTDEBB165	Deutsche Bank	Schwedt/Oder	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
50	12070000	DEUTDEBB165	Deutsche Bank	Seelow	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
51	12070000	DEUTDEBB165	Deutsche Bank	Senftenberg	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
52	12070000	DEUTDEBB165	Deutsche Bank	Spremberg	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
53	12070000	DEUTDEBB165	Deutsche Bank	Weißwasser/O.L.	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
54	12070000	DEUTDEBB165	Deutsche Bank	Guben	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
55	12070000	DEUTDEBB165	Deutsche Bank	Wittstock/Dosse	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
56	12070000	DEUTDEBB165	Deutsche Bank	Zossen	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
57	12070000	DEUTDEBB165	Deutsche Bank	Angermünde	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
58	12070000	DEUTDEBB165	Deutsche Bank	Falkensee	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
59	12070000	DEUTDEBB165	Deutsche Bank	Forst (Lausitz)	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
60	12070000	DEUTDEBB165	Deutsche Bank	Hennigsdorf	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
61	12070000	DEUTDEBB165	Deutsche Bank	Luckenwalde	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
62	12070000	DEUTDEBB165	Deutsche Bank	Ludwigsfelde	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
63	12070000	DEUTDEBB165	Deutsche Bank	Lübben (Spreewald)	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
64	12070000	DEUTDEBB165	Deutsche Bank	Schwarzheide	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
65	12070000	DEUTDEBB165	Deutsche Bank	Strausberg	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
66	12070000	DEUTDEBB165	Deutsche Bank	Teltow	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
67	12070000	DEUTDEBB165	Deutsche Bank	Werder (Havel)	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
68	12070000	DEUTDEBB165	Deutsche Bank	Nauen	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
69	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Potsdam	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
70	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Angermünde	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
71	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Bad Freienwalde (Oder)	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
72	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Bernau bei Berlin	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
73	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Cottbus	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
74	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Eberswalde	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
75	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Eisenhüttenstadt	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
76	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Falkensee	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
77	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Finsterwalde	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
78	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Forst (Lausitz)	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
79	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Frankfurt (Oder)	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
80	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Fürstenwalde/Spree	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
81	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Guben	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
82	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Hennigsdorf	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
83	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Jüterbog	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
84	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Königs Wusterhausen	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
85	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Kyritz	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
86	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Luckenwalde	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
87	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Ludwigsfelde	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
88	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Lübben (Spreewald)	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
89	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Nauen	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
90	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Neuruppin	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
91	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Oranienburg	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
92	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Berlin	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
93	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Pritzwalk	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
94	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Rathenow	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
95	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Schwarzheide	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
96	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Schwedt/Oder	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
97	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Seelow	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
98	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Senftenberg	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
99	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Spremberg	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
100	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Strausberg	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
101	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Teltow	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
102	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Weißwasser/O.L.	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
103	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Werder (Havel)	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
104	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Wittstock/Dosse	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
105	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden	Zossen	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
106	12070024	DEUTDEDB161	Deutsche Bank Privat und Geschäftskunden F 704	Brandenburg an der Havel	eigenes Rechenzentrum	BdB		193.150.167.8	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
107	12096597	0	Sparda-Bank Berlin eG	Berlin	Fiducia & GAD IT AG	BVR	hbci01.fiducia.de		3.0								ja		ja	ja				https://hbci11.fiducia.de/cgi-bin/hbciservlet	FinTS V3.0	9/15/18
108	13040000	0	Commerzbank	Rostock	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
109	13040000	0	Commerzbank	Wismar	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
110	13040000	0	Commerzbank	Roggentin	eigenes Rechenzentrum	BdB	hbci.commerzbank.de		3.0		ja	ja	ja		ja			ja	ja	ja						11/15/10
111	13050000	0	Ostseesparkasse Rostock	Rostock	Finanz Informatik GmbH & Co. KG	DSGV	banking-mv6.s-fints-pt-mv.de	nicht unterstützt	3.0	ja											ja			https://banking-mv6.s-fints-pt-mv.de/fints30	FinTS V3.0	7/9/16
112	13061008	0	Volksbank Wolgast eG	Wolgast	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
113	13061078	0	Volks- und Raiffeisenbank eG Wismar	Wismar	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
114	13061078	0	VRB eG, Wismar	Wismar	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
115	13061128	0	Raiffeisenbank Bad Doberan eG	Bad Doberan	Fiducia & GAD IT AG	BVR	hbci.gad.de	nicht unterstützt	3.0								ja		ja	ja				https://hbci-pintan.gad.de/cgi-bin/hbciservlet	FinTS V3.0	5/22/13
116	13070000	DEUTDEBR132	Deutsche Bank	Rostock	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
117	13070000	DEUTDEBR132	Deutsche Bank	Anklam	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
118	13070000	DEUTDEBR132	Deutsche Bank	Bad Doberan	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
119	13070000	DEUTDEBR132	Deutsche Bank	Bergen auf Rügen	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
120	13070000	DEUTDEBR132	Deutsche Bank	Bützow	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
121	13070000	DEUTDEBR132	Deutsche Bank	Demmin, Hansestadt	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
122	13070000	DEUTDEBR132	Deutsche Bank	Greifswald, Hansestadt	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
123	13070000	DEUTDEBR132	Deutsche Bank	Grevesmühlen	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
124	13070000	DEUTDEBR132	Deutsche Bank	Grimmen	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
125	13070000	DEUTDEBR132	Deutsche Bank	Güstrow	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
126	13070000	DEUTDEBR132	Deutsche Bank	Hagenow	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
127	13070000	DEUTDEBR132	Deutsche Bank	Ludwigslust	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
128	13070000	DEUTDEBR132	Deutsche Bank	Lübz	eigenes Rechenzentrum	BdB		193.150.167.7	3.0										ja	ja				https://fints.deutsche-bank.de/	FinTS V3.0	9/19/15
